ortho_group,node_name,type
OG0000113,Spirogloea_muscicola<24>,Contraction
OG0000113,<30>,Contraction
OG0000113,Amborella_trichopoda<15>,Contraction
OG0000113,Zea_may<5>,Expansion
OG0000113,Gnetum_montanum<13>,Contraction
OG0000113,Pinus_lambertiana<7>,Expansion
OG0000113,Ceratopteris_richardii<17>,Expansion
OG0000113,<16>,Contraction
OG0000113,Physcomitrella_patens<36>,Expansion
OG0000177,Volvox_carteri<21>,Expansion
OG0000177,Zea_may<5>,Expansion
OG0000177,Ceratopteris_richardii<17>,Expansion
OG0000364,Marchantia_polymorpha<38>,Contraction
OG0000364,Zea_may<5>,Expansion
OG0000364,Pinus_lambertiana<7>,Expansion
OG0000455,Selaginella_moellendorffii<29>,Contraction
OG0000455,Pinus_lambertiana<7>,Expansion
OG0000455,Salvinia_cucullata<10>,Expansion
OG0000455,<28>,Expansion
OG0000701,Spirogloea_muscicola<24>,Expansion
OG0000701,Amborella_trichopoda<15>,Expansion
OG0000701,Pinus_lambertiana<7>,Contraction
OG0000804,Chara_braunii<27>,Expansion
OG0000804,<33>,Contraction
OG0000804,Ceratopteris_richardii<17>,Expansion
OG0000804,<32>,Expansion
OG0000804,Physcomitrella_patens<36>,Expansion
OG0001006,Chara_braunii<27>,Expansion
OG0001006,Vitis_vinifera<3>,Contraction
OG0001006,Populus_trichocarpa<0>,Expansion
OG0001006,Pinus_lambertiana<7>,Expansion
OG0001006,<28>,Expansion
OG0001422,<18>,Expansion
OG0001422,<23>,Expansion
OG0001666,Zea_may<5>,Contraction
OG0001666,Vitis_vinifera<3>,Expansion
OG0001666,Sequoiadendron_giganteum<6>,Expansion
OG0001666,<12>,Expansion
OG0001666,<28>,Expansion
OG0002135,Ceratopteris_richardii<17>,Expansion
OG0002135,Azolla_filiculoides<11>,Contraction
OG0002162,Oryza_sativa<4>,Expansion
OG0002162,<12>,Expansion
